Winery Name,Winery Description,Website,Winery Location,Phone #,Trade Show Location,Product 1 Name,Product 1 Description,Product 2 Name,Product 2 Description,Product 3 Name,Product 3 Description,Product 4 Name,Product 4 Description,Product 5 Name,Product 5 Description,Product 6 Name,Product 6 Description,Product 7 Name,Product 7 Description,Product 8 Name,Product 8 Description,Product 9 Name,Product 9 Description,Product 10 Name,Product 10 Description
ÁVILA AUTÉNTICA,,http://www.avilaautentica.es,"PLAZA CORRAL DE LAS CAMPANAS S/N, 05001, AVILA , Spain",,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 406",,,,,,,,,,,,,,,,,,,,
AVINYÓ,"Avinyó is a small family winery located in the heart of El Penedès. Can Fontanals, the family's farmhouse, dates back to the sixteenth century and, since its origins, the main activity of the estate has been related to the cultivation of vines. At Avinyó we like to talk about character, esteem and passion for the land, respect and admiration for the territory that surrounds us. Our goal is to produce wines and cavas that express our environment. Our commitment: 100% Organic farming, 100% Grapes from the estate, 100% own vinification, 100% Minimum aging of 18 months, 100% Certified Vegan, 100% natural disgorgement without freezing. Avinyó is one of the 17 wineries belonging to the exclusive ""Integral Producer"" seal of the D.O. CAVA.",http://www.avinyo.com,689507739 / 938970055,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 224",AVINYÓ BLANC DE NOIRS 2023,"Origin: Finca la Fassina, organic viticulture. Located on the geographical border of Avinyonet de Penedès, the soil is fertile, deep and well-drained. It benefits from a rainfall regime that is higher than the average of the rest of our estates. If we add to this singularity that it is located in a deep area protected from the easterly winds, we find that it is an optical enclave for good cultivation. Varieties: 100% Pinot Noir",AVINYÓ BRUT NATURE RESERVA 2021,"Origin: The Can Fontanals Estate, organic viticulture, vineyards of Macabeo, Xarel·lo and Parellada, planted from 1978 to 1988, cultivated in trellises. The soils are deep and well drained with a loamy, loamy-silty texture with small accumulations of calcium carbonate, which will ensure a balanced harvest even in years of drought. Varieties: Indigenous grape varieties 70% Xarel·lo 25%Macabeo 5%Parellada.",AVINYÓ BRUT RESERVA 2022,"Origin: The Can Fontanals Estate. Organic viticulture, Vineyards of Macabeo, Xarel·lo and Parellada, planted from 1978 until 1988, cultivated in trellises. The soils are deep and well drained with a loamy, loamy-silty texture with small accumulations of calcium carbonate. Indigenous grape varieties: 60% Xarel.lo - 25% Macabeo - 15% Parellada",AVINYÓ GRAN RESERVA LA TICOTA 2018,"Origin: Can Fontanals Estate. Organic viticulture, unique plot “La Ticota”, planted in 1940 and cultivated for decades by our ancestors. This has allowed us to acquire great knowledge about this plot. The old vineyards present a natural balance that, although it translates into lower yields, offers exceptional potential for grape production. These grapes have a higher concentration of flavors and a more authentic expression of the terroir, resulting in a superior quality wine. The soil is of medium type, with good water retention capacity and slightly clayey limestone. Indigenous grape variety: 100% Xarel·lo",AVINYÓ ROSÉ SUBLIM 2023,"Origin: Finca la Fassina, organic viticulture. Located on the geographical border of Avinyonet de Penedès, the soil is fertile, deep and well-drained. It benefits from a rainfall regime that is higher than the average of the rest of our estates. If we add to this singularity that it is located in a deep area protected from the easterly winds, we find that it is an optical enclave for good cultivation. Varieties: 100% Pinot Noir",,,,,,,,,,
AWINES SPAIN & PORTUGAL,"Awines Spain & Portugal has 25 years’ experience working with wines from Spain and Portugal. With a great selection of Family bodegas and Quintas. Our portfolio includes wines produced by historic and iconic families or winemakers as well as some of the most dynamic brands that are driving the modern wine world. We have created unique relationships with top estates as well as talented winemakers. Our team of passionate individuals possess a very extensive experience in finding unique producers, marketing their wines with active distribution in over 60 countries.",https://awines-spain.com/,"BUESO PINEDA 23, 28043, MADRID , Spain",+34917022138,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 193",,,,,,,,,,,,,,,,,,,,
AYMAR,"Aymar, a sixth-generation family winery. A project where we express our way of understanding, living, and ensuring that everyone enjoys our wines and sparkling wines. We strive to convey our passion for wine and its personality. Aymar has its own vineyards, a base of excellent quality for this fruit so deeply rooted in Penedès, in our land. We are 100% organic, producing high-quality Clàssic Penedès wines and sparkling wines that represents this region and are deeply connected to this land, while at the same time maintaining sustainable and responsible viticulture pratices. We seek to achieve the full expressiveness of native grape varieties, among which we include Xarel·lo and Xarel·lo Vermell, always emphasizing elegance in the produciton of premium wines an sparkling wines.",https://www.aymarwines.com,938905151,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 384",AYMAR BRUT NATURE RESERVA ECO,"Varieties: Macabeo, Xarel·lo & Parellada. Clàssic Penedès Sparkling wine. Tasting note: Golden color with greenish hues. Fine, lively mousse with small bubbles, good release, forming an abundant and persistent crown. Intense aromas, and fruity, with notes of apricot and passion fruit, combined with a background of fresh yeast reminiscent of freshly baked bread. Very fresh sensation in the mouth, harmonious, and well-structured, initally with notes of bread and yeast, followed by citrus touches evoking grapefruit and lime. Long and persistent aftertaste, maintaining a fresh sensation with a very slight hints of bitterness.",AYMAR ICE EXTRA DRY ECO,"Varieties: Macabeu, Xarel·lo & Parellada + expedition liqueur made from natural herbs similar to a red vermouth. Clàssic Penedès Sparkilng wine. The first Penedes Sparkling wine to drink with ice, as an aperitif or as a long drink. Tasting note: Golden color with seductive reddish hues. In the nose, is complex, where aromatic herbs predominate, with subtle notes of cardamom and rhubarb. Surprisingly on the palate, with a perfect balance between acidity, sweetnes, and bitterne. Citrus flavors such as grapefruit ar noticeable at first, followed by notes of caramel and aromatic herbs.",AYMAR ROSÉ RESERVA ECO,"Varieties: Garnacha. Clàssic Penedès Sparkling wine. Tasting notes: Pale raspberry color, bright with subtle terracotta hints. Creamy and abundant mousse, with good effervescence and an elegant crown on the surface.On the nose, it is intense, delicately exotic and captivating, predominantly showing raspberry, strawberry, and blackcurrant notes. On the palate, is dense, full-bodied, essentially fruity, evoking red forest frutis an spices, finishing with hints of candied fruit. The finish is very long and elegant, with lingering impressions of red fruits and a delicate touch of raspberry jam.",XAREL·LO ECO,"Varieties: Xarel·lo. Tasting note: Very pale golden color, bright amd transparent, with good clarity and brilliance. Aromas predominantly floral, such as linden blossom and jasmine, followed by delicate notes of ripe fruit with subtle balsamic hints. The wine is smooth and velvety, on the palate initially, flavors of white fruit such as green apple and pear are preceived, followed by the youthful freshness of the wine, reminiscent of lychee.",XAREL·LO VERMELL ECO,"Varieties: Xarel·lo Vermell. Tasting note: Pale pink color, bright and transparent, with a slinght orange hue. On the nose, it offers a delicate and gentle aroma, dominated by the fragance of white fruit, such as Reinette Apple and quince, resulting in a perfect aromatic harmony, wiht the discreet background of fresh fennel. On the palate, it's broad and silky, smooth and elegant, allowing the typical traits of the variety of shine through. Flavors of dried apricots, raisins, and ripe fruit emerge, followed by a gentle personality that envelops the entire mouth.",,,,,,,,,,
AYMAR VITIVINICOLES,"Aymar vitivinícoles is a century-old winery located in a town of Vimbodí i Poblet, near the Poblet Monastery. The winery has been restored and transformed into a modern into a modern winemaking facility, where Aymar vinifies grapes from its own vineyards in the Conca de Barberà, located in the Prades Mountain.",https://aymarwines.com,977368886,,"Montjuïc, Pavilion 8, Level , Street C, Stand 482",COMABELLA ECO,"Varieties: Garnacha blanca. Tasting note: Pale yellow color, bright and clear, with good color intensity. Fine and lively tears. On the nose, fresh and intense aromas. Predominant notes of citrus (lime, grapefruit), white fruit (pear), and a broad floral background (almond blossom). Finished with a very subtle herbaceous touch that makes it a refreshing wine. On the palate is fresh and balanced, wiht rounded acidity and body that recalls its works on fine lees. Medium-long finish with notes of white fruit, citrus, and a mineral touch. Good persistence after swallowing.",MONTAGUDELL ECO,"Varieties: Carménère & Merlot. Tasting note: Intens and captivating cherry color with persistent tear. On the nose, complex aromas of ripe fruit (blackberries and figs) wiht a balsamic background. Wrapped in tertiary notes of spices and tabacoo. On the palate, it stands out its gentleness and velvety tanins. Persistent finish.",TRANQUIL NEGRE ECO,"Varieties: Merlot & Syrah. Tasting note: Intense cherry color with violet hues, clean and bright. Good color intensity. Fine, slightly tinted tears that slide gracefully down the glass. On the nose, honest and expressive aromas. Prominent notes of ripe red fruit (raspberries, strawberries) and black fruit (blackberries), with floral touches (violets) and a lightly spiced green background (pepper, licorice, bay leaf), along wiht a subtle balsamic note that adds freshness and complexity. On the palate is rounded and fresh wine, with soft tannins. Balanced acidity and a agile, pleasant palate. Medium finish with a hint of red fruit and a light spicy notes invites a second glass.",TRANQUIL ROSAT ECO,"Varieties: Garrut. Tasting note: Intense rosé color with slightly violaceous highlights, clean and bright, showing fine, elegant tears that glides down the glass. Frank and attractive aromas of ripe red fruit (raspberries, cherries, strawberries), complemented by a delicate floral touch (rose petals) and a fresh herbal note that adds complexity (thyme, bay leaft). Subtle hints of pome fruit and a lightly balsamic background. A fresh and lively wine, with a vibrant acidity that makes it agile and refreshing; smooths and rounded on the palate, with intense red-fruit flavors and a slight bitter note on the finish that adds depth. Persistent finish that invites another sip.",,,,,,,,,,,,
B.R.O.T COL LECTIU BIODINÀMICH,,,"BUENOS AIRES 20, 08195, SANT CUGAT DEL VALLÈS , Spain",,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 466",,,,,,,,,,,,,,,,,,,,
BALDOVAR 923,"In the mountains of inland Valencia lies Baldovar 923, one of the most fascinating and promising wine projects on the Spanish scene. This small boutique winery has recovered historic vineyards of the Merseguera variety, native to the area. Its old vines, at over 1,000 meters above sea level, are cultivated on limestone soils under a Mediterranean climate with continental influence. Behind Baldovar 923, we find a team that committed to this remote corner with a clear vision: to produce mountain wines with a unique personality, respecting the character of the terroir. Their production philosophy is based on traditional methods that are respectful of the environment. Organic-biodynamic viticulture and low yields guarantee grapes of extraordinary quality, processed through minimal intervention winemaking. Our wines are recognized by the most prestigious international critics, such as Sarah Jane Evans, Pedro Ballesteros, Tim Atkin, and Beth Willard, among others.",https://www.baldovar923.es,"Crta. Baldovar, 17, 46178, Alpuente , Spain",+34 617 426 717,"Montjuïc, Pavilion 8, Level 0, Street F, Stand 316",Arquela,"Arquela is born from our relentless quest to discover the soils where Merseguera reaches its ultimate expression. This wine is the result of two exceptional plots, selected for their singular geology: siliceous schists bathed in limestone that produce small, saline, and golden berries. These unique soils give Arquela a more defined and evident personality. In the glass, it unfolds a crisp citrus fruit expression, accompanied by a deep minerality that reveals the complexity of the terroir. It maintains perfect balance in its alcohol level, yet its character is more intense, profound, and complex than any other expression from our winery. Arquela is proof that Merseguera, when it finds the perfect soil, can create wines of extraordinary personality and elegance.",Berandía,"Berandía is the expression of high-altitude Bobal, grown at over 1,000 meters above sea level. This long-aged wine captures the freshness and vibrancy of our mountain plots, where altitude and climate transform the personality of this Mediterranean variety. Elegant and silky in tannins, Berandía contrasts with the more opulent Bobals of the Mediterranean. After two vintages aging in old wood, a different Bobal emerges: saline, with evocative aromas of pines and junipers, spicy and fresh. Each sip reveals layers of complexity that speak of its mountainous origin. There is landscape in the glass. Berandía is a wine that transports you to the heights where its grapes are born, a tribute to mountain viticulture and Bobal's ability to express unique terroirs.",Cañada París,"Cañada París is the purest expression of Baldovar's terroir. This wine captures the essence of Merseguera grown in our highest plots, at 1,050 meters altitude, where sandy-loam calcareous soils and high stoniness impart a unique personality. In the glass, Cañada París reveals a pronounced minerality that interplays with saline notes, while the smooth and persistent acidity, characteristic of Merseguera, brings freshness and elegance. It is a mountain wine that speaks unfiltered of the variety-terroir pairing, crafted with minimal intervention to preserve the authenticity of this singular corner of Valencia. A tribute to high-altitude viticulture and the indomitable character of our old vines.",Cerro Negro,"Cerro Negro is born from old massal selection Mencía vines, planted between 1,000 and 1,200 meters altitude. This wine seeks the perfect balance between depth and delicacy, between power and elegance. Its soils, with a high rocky content surrounded by loams and clays, allow for ripening that concentrates acidity and provides a medium-high tannic structure. To preserve the elegance characteristic of high-altitude Mencía, we vinify 30% using carbonic maceration and the remaining 70% in semi-carbonic, thus regulating the tannic structure without losing intensity. The result is a deep and complex wine, yet delicate and refined at the same time. Cerro Negro is proof that Mencía, in the heights of Valencia, can express a unique personality: mountainous, fresh, and sophisticated.",Rascaña,"Rascaña is a skin-contact wine that explores the aromatic complexity of Merseguera through contact with its skins. Using controlled and time-limited maceration and fermentation, we seek to enhance the natural expression of the varieties, with Merseguera as the protagonist and Macabeo as a harmonious companion. The result is a wine with gastronomic personality, enveloping texture, and intense aromatics. The skins provide structure, depth, and a subtle tannic dimension that expands pairing possibilities at the table, while maintaining the freshness and elegance characteristic of our mountain wines. Rascaña is our commitment to Mediterranean skin-contact wines, a tribute to ancestral techniques applied with modern sensibility to create complex, versatile wines deeply connected to the terroir.",,,,,,,,,,
BARAHONDA,"From Yecla. From our roots. Unapologetically authentic. We are roots. We are a family-run, century-old winery, deeply rooted in the traditions of Yecla while embracing an entrepreneurial, innovative spirit. We are the fourth generation of the Candela family, preceded by our great-grandfather, grandfather, and father. Without them, we would not be who we are today. Since 1850, when Pedro Candela Soriano began making and selling small batches of wine locally, we have dedicated our lives, bodies, and souls to wine. This dedication becomes clear the moment you step through the doors of Bodegas Barahonda. We embrace innovation and entrepreneurship. We’re from Yecla and we’re proud of it. This land is one-of-a-kind, and we aim to showcase it alongside world-renowned companies also born and raised in Yecla. Our bond with Yecla is strong, and we proudly uphold its enterprising and innovative spirit. We offer a complete experience. Barahonda is wine, Yecla, gastronomy, and landscape. It’s the love of wine and the joy of tasting, a journey through our roots, history, and winery. Barahonda is a complete experience.",http://barahonda.com/,"Ctra. de Pinoso, km. 3, 30510, Yecla , Spain",+34673553793,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 563",BARAHONDA ORGANIC BARREL 2023,"Organic Red WINE. VINTAGE 2023. D.O. Yecla. VARIETIES 60% Monastrell and 40% Syrah. SOIL 50% sand, 40% limestone and 10% clay. ALCOHOL 14.5%. AGED 6 months in French oak barrels. TASTING NOTES Velvety and friendly, it shows good fruit intensity and a clean finish with well-integrated notes of wood. This wine has an acidity that gives it freshness. Clean, intense and tasty. CONSUMPTION RECOMMENDATIONS Consume between 15º/17 ºC. Suitable for vegans and vegetarians. Not suitable for pregnant women or minors due to its alcohol content. PAIRING Suitable for nuts, fatty cured cheeses and grilled red and white meats.",BARAHONDA SUMMUM ORGANIC 2022,"Organic Red Wine. VINTAGE 2022. D.O. Yecla. VARIETIES 100% Monastrell. SOIL 90% limestone and 10% sand. ALCOHOL 15%. AGED 16 months in American oak barrels. TASTING NOTES Intense aromas of candied fruits and soft toasted fruits, with a large fleshy and structured body, with a sweet and pleasant background, enveloping and persistent. CONSUMPTION RECOMMENDATIONS Consume between 15º/17 ºC. Suitable for vegans and vegetarians. Not suitable for pregnant women or minors due to its alcohol content. PAIRING Suitable for small game meats, red meats, cured cheeses, legumes with meat, sausages and spicy dishes.",BARAHONDA WHITE ORGANIC 2025,"Organic White WINE. VINTAGE 2025. D.O. Yecla. VARIETIES 65% Verdejo and 35% Sauvignon Blanc. SOIL 30% limestone, 35% sand and 35% clay. TASTING NOTES Its intense aroma of fruit stands out, in the mouth it is fresh with floral sensations and a long balanced finish with good acidity. CONSUMPTION RECOMMENDATIONS Consume between 7º/9 ºC. Suitable for vegans and vegetarians. Not suitable for pregnant women or minors due to its alcohol content. PAIRING Suitable for fish such as hake, monkfish or cod, as well as seafood, fresh vegetables and pasta with mild sauces. Adequate",,,,,,,,,,,,,,
BARBADILLO,,https://www.barbadillo.com,663830373,,"Montjuïc, Pavilion 8, Level 0, Street E, Stand 726",,,,,,,,,,,,,,,,,,,,
Bárbara Palacios López-Montenegro,"The company was born from the interpretation of a vineyard located in Haro (La Rioja), acquired by my parents and which came to me, Bárbara Palacios, as a gift. Since 2005, my learning has been closely linked to this vineyard and this area. Touring it, observing it and working on it, I have come to understand the style of wines it is capable of offering. My first wine, Barbarot, which I started making in 2005, is produced only in those vintages in which the climate allows full phenolic maturity to be reached. It represents a classic Rioja with a contemporary vision. Puppi Barbarot is a fresher wine, designed for everyday consumption. Last year, four new references were launched on the market: Vlatracones Blanco and Puppi Blanco, from a plot of white Grenache, along with Vlatracones and Los Escaños. These additions expand our range of wines and reinforce the winery's diversity of styles.",https://barbarot-wines.com,610455584,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 450",BARBAROT BÁRBARA PALACIOS 2016,"Barbarot 2016 es un vino de terroir elaborado a partir de Tempranillo y Merlot procedentes de viñedos situados en Haro, en el corazón de Rioja Alta, sobre suelos arcillo-calcáreos a 480 metros de altitud y protegidos por los Riscos de Bilibio y la Sierra Cantabria. La añada se caracterizó por un invierno húmedo que aseguró buenas reservas hídricas y un verano muy cálido, permitiendo alcanzar una madurez fenólica completa con excelente estado sanitario. Vendimiado manualmente a mediados de octubre, fermenta en depósitos de acero inoxidable con una vinificación precisa y respetuosa. Tras la fermentación maloláctica en barrica, el vino envejece durante 15 meses en barricas bordelesas usadas de roble francés. Presenta un perfil equilibrado, con fruta roja y negra, notas especiadas y ahumadas, taninos elegantes y bien integrados, y una estructura que le permite una larga evolución en botella.",LOS ESCAÑOS 2021,"Los Escaños 2021 is a singular wine made from a small historic vineyard recovered in 2016, located next to Carasoles de Bilibio at 480 meters above sea level, with original vines dating back to 1935 and newer Tempranillo plantings. The vintage was marked by climatic contrasts that favored balanced ripening and high grape quality. Hand-harvested on October 15th, fermentation takes place with native yeasts after cold pre-fermentative maceration, with manual cap management and a post-fermentative maceration guided by daily tasting. Malolactic fermentation occurs in first-use French oak barrels, followed by 10 months of aging. It is a deep and elegant wine, with fresh red fruit, spice notes, fine tannins and excellent aging potential, conceived as a tribute and an extreme selection of the vineyard.",PUPPI BARBAROT 2021,"Puppi Barbarot 2021 represents the youthful expression of the Barbarot project, integrating grapes from young vineyards located in Haro, in plots such as Carasoles de Bilibio and Valtracones, on clay-limestone soils at 480 meters above sea level. The vintage was shaped by a cold winter with snowfall, a warm and very dry spring that advanced the growing cycle and reduced yields, and a summer with strong temperature contrasts that allowed balanced ripening and high quality. Hand-harvested in mid-October, it ferments with native yeasts after cold pre-fermentative maceration, followed by a three-week post-fermentative maceration. Aging takes place for 10 months in second- and third-use French oak barrels. The wine is fresh and expressive, with concentrated fruit, cherry and redcurrant aromas, rounded tannins and a long, harmonious finish.",VALTRACONES GARNACHA BLANCA 2023,"Valtracones Garnacha Blanca 2022 procede de un viñedo plantado en vaso a 520 metros de altitud en el entorno del barranco de Valtracones, sobre suelos arcillo-calcáreos con alta concentración de cal activa. La añada estuvo marcada por un inicio de ciclo equilibrado y un verano seco y caluroso que aceleró la maduración, manteniendo una excelente sanidad de la uva. Vendimiado manualmente a mediados de septiembre, se elabora mediante prensado de racimo entero tras una breve maceración en frío. La fermentación se realiza a baja temperatura y la crianza durante 10 meses en barrica de roble francés de 500 litros con batonnage periódico, seguida de un reposo sobre lías finas. El vino presenta un perfil fresco y tenso, con notas cítricas e hinojo, marcada acidez, carácter salino y mineral, y una gran capacidad de guarda pese a la juventud del viñedo.",VALTRACONES TEMPRANILLO 2021,"Valtracones Tempranillo 2021 is produced from a selection of parcels located around the Valtracones ravine, at 480 meters above sea level, on clay-limestone soils that favor balance and concentration. The vintage was influenced by a cold winter, a dry spring and a summer with strong diurnal temperature variations, allowing optimal ripening and good accumulation of phenolic and aromatic compounds. Hand-harvested on October 12th, the wine is made using partial carbonic maceration with whole clusters and controlled fermentation. Malolactic fermentation takes place in third-use French oak barrels, followed by 12 months of aging. The wine offers aromas of fresh red fruit, flowers and spices, with fine, elegant tannins, well-integrated oak notes and a balanced, persistent palate.",,,,,,,,,,
BARCO DEL CORNETA,"Barco del Corneta is a story of family, friendship, an emotional and spiritual bond with the land, humility and work. It is a journey through viticulture, love for the Land, respect for the past and excitement for the future. The Verdejo, the Duero, the pebbles, the sand and limestone, the ""cencellada"", the summer sunsets, the starry sky and the hands are the protagonists of this story. https://linktr.ee/BarcodelCorneta",https://www.barcodelcorneta.com,"CARREVENTOSA 7, 47491, LA SECA , Spain",,"Montjuïc, Pavilion 8, Level 0, Street A, Stand 165",BARCO DEL CORNETA,BARCO DEL CORNETA,,,,,,,,,,,,,,,,,,
BARDINET WINES,"In 2015 Bardinet, S.A. acquired the Mont Marçal winery and the Lacrima Baccus brand. In 2017 Xavier Freixedas took over as Director. In 2020, the Lacrima Baccus location was incorporated and in 2022 the purchase of Marqués del Puerto was closed, consolidating the offer in wines and cavas. That same year, Bardinet Wines, S.A.U. was born, which brings together three wineries: Mont Marçal (Penedès, founded in 1975, a cava production centre), Lacrima Baccus (Castellet i la Gornal, 2007, bottling and DO Penedés wines) and Marqués del Puerto (La Rioja, 1972, DO Ca Rioja wines). The strategy focuses on industry risks and customer requirements. The organization has 35 people, promoting diversity and equality.",https://www.lacrimabaccus.com,938918281,,"Montjuïc, Pavilion 8, Level 0, Street A, Stand 104",Lacrima Baccus Summum Brutr Nature,"Summum Brut Nature 2019 (DO Cava) Cava premium elaborado con Xarel·lo, Macabeu, Parellada, Chardonnay y Pinot Noir, con crianza mínima de 24 meses sobre sus propias lías. Presenta un color amarillo pálido con reflejos dorados y burbuja fina, persistente y de evolución lenta. En nariz, destaca por su gran intensidad aromática y complejidad: notas de albaricoque, fruta madura como melocotón y membrillo, combinadas con frutos secos y un delicado fondo de confitería. En boca, entrada fresca y voluminosa, carbónico fino y cremoso, perfectamente integrado, con acidez equilibrada y un final armónico que recuerda al brioche. Sin azúcar (0 g/l), acidez total 6,2-6,9 g/l, SO₂ total 70-75 mg/l, 12% vol. Ideal para mariscos, pescado azul, patés, carnes en salsa, estofados, quesos y arroces. Servir entre 10 y 12 ºC en botella especial de vidrio de 75 cl. Representa la esencia del trabajo vitivinícola tradicional bajo la Denominación de Origen Cava",Mont Marçal Extremarium,"Mont Marçal Extremarium Brut 2021 ECO (DO Cava) Cava ecológico elaborado con Xarel·lo, Macabeo, Parellada, Chardonnay y Pinot Noir, con crianza mínima de 18 meses sobre sus propias lías. Presenta un color amarillo pálido y brillante, con burbuja fina y continuada, formando una corona perfecta. En nariz, agradable y fresco, con riqueza aromática entre notas envejecidas de vainilla, fruta como melocotón, matices cítricos de pomelo y delicadas flores blancas. En boca, entrada amable y versátil, carbónico suave, textura sedosa, madurez equilibrada y recuerdo de almendra, con sensación final larga y fresca. Acidez total 5,8-6,0 g/l, azúcar 8 g/l, SO₂ total 70-75 mg/l, 11,5% vol. Servir entre 10 y 12 ºC en botella grabada especial de 75 cl. Maridaje ideal con viandas condimentadas, aves como faisán o perdiz, risottos, pescados azules y postres clásicos como pan, aceite y chocolate negro.",Railway,"Railway by Marqués del Puerto 2022 (DOCa Rioja) 100% Tempranillo red wine, with 14 months in barrel and 7 months in bottle. It has an intense cherry red color with ruby meniscus and excellent shine. On the nose, fruit aromas predominate, hints of fresh must, red fruits and spices; When shaking the glass, notes of liquorice, rosewood, cloves, blackberry and pink pepper emerge, with an interesting minerality that enhances its fruitiness. On the palate, it is fresh, balanced in acidity, quality tannins, abundant tears that provide a sweet memory, very long and without edges, with subtle wood despite its aging. Total acidity 5.2 g/l, sugar 0.5 g/l, 13.5% vol. Serve between 16 and 18 ºC in a cinnamon glass bottle (75 cl). Versatile pairing: legume stews, Iberian meats, red meats and roasts. Made in Fuenmayor, Km 0 of the DOCa Rioja, it combines tradition and modern style, aged in barrels toasted with Jade volcanic stone to preserve the varietal character.",,,,,,,,,,,,,,
BARONÍA DE TURÍS,"La Baronía de Turís is a centenary winery, founded in 1920 in the interior of the province of Valencia, where the Mediterranean landscape and winemaking tradition mark the character of our wines. We are part of the Valencia Designation of Origin, a seal that supports the authenticity and quality of our wines. We work mainly with Tempranillo, Merlot, Malvasia and our variety of origin, Moscatel, which defines the personality of many of our wines and mistelas. This commitment to excellence has been internationally recognized: in 2025, our Mistela won second award in the Muscat du Monde competition, an achievement that reaffirms the uniqueness of our work. With more than a century of history, we combine tradition and modern techniques to create wines that express the essence of our territory.",https://baroniadeturis.es,635094145,,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 497",,,,,,,,,,,,,,,,,,,,
BASQUE MOONSHINERS S.L,"Craft distillery located in the Basque Country. Our philosophy is to produce artisanal products using local raw materials (potatoes and grains from Álava and Navarre) with transparency and authenticity as our guiding principles. Thanks to our vodkas and whiskies, we are establishing ourselves as a leading name in the European craft scene. We are currently the most internationally awarded Spanish whisky distillery, boasting in our portfolio the Best Spanish Single Malt 2020 and Best Spanish Blended Malt 2022, among other notable awards.",https://basquemoonshiners.es/,945228514,,"Montjuïc, Pavilion 1, Level 0, Street A, Stand 520",AGOT Single Malt Basque Whisky,"AGOT® Single Malt Basque Whisky is a completely natural single malt, crafted from 100% Navarrese malt of the Pilsner and Munich varieties. The meticulous care given to the raw materials, its double distillation in copper pot stills, and aging in American oak (ex-Bourbon) and French oak (ex-Rioja Alavesa) casks give it a unique and surprising character. BEST SPANISH SINGLE MALT 2020",BASMOON Vodka,"BASMOON Vodka® is a natural vodka handcrafted from potatoes grown in Álava, Spain. The meticulous care given to the raw materials, its five distillations in a double-column copper still, and gentle filtration give it a unique and instantly recognizable character. Bright and crystal clear. Delicate aromas of citrus and cocoa. Balanced and creamy on the palate with hints of fresh grass, moderate intensity, and a complex/medium finish.",BIKKUN Vatted Malt Whisky,"BIKKUN® Vatted Malt Whisky is a 100% malt whisky, the result of an international collaboration between the BASQUE MOONSHINERS distillery and CVH International, owner of several top-tier Scottish distilleries, including brands such as Deanston, Ledaig, and Bunnahabhain. This whisky is created using peated malt from the Scottish islands, as well as malt with a pronounced ""sherry"" character from the Highlands. The blend is completed with BASQUE MOONSHINERS' signature Single Malt, aged in Rioja Alavesa casks and featured in AGOT Single Malt Basque Whisky. BEST SPANISH BLENDED MALT 2022",,,,,,,,,,,,,,
"BASQUE WINE: Rioja Alavesa, Txakoli & Euskal Sagardoa","Basque Wine is the promotional brand for the wide variety of drinks in the Basque Country. The land from which the raw material of each drink comes is the link between tradition and the exclusive character of each wine made in the Basque Country. They are very particular cultures, customs and trajectories that converge in the same roots: the land and its people. The following will be present in this action: Rioja Alavesa wine, Cider and Txakoli from Araba, Bizkaia and Gipuzkoa.",https://www.hazi.eus,688891845,,"Montjuïc, Pavilion 1, Level 0, Street B, Stand 151",,,,,,,,,,,,,,,,,,,,
BELL CROS,"/ Happiness in a Bell Cros bottle is a fun-filled, forward-thinking project with the intention of spreading happiness with its DO Montsant wines. Bell Cros began in 2017 as an idea of a Swedish couple, Ann and Peter. When we retired, we first bought a small piece of land and soon grew with the purchase of seven more plots of land from the surrounding area. We produce around 50,000 bottles a year and our product range consists of eight different wines. / We produce wines for the high-quality segment and our goal is to become one of the five best wineries in the DO Montsant. With this in mind, we have hired Joan Asens, one of Spain's most accomplished winemakers. La Figaflor 2022 was awarded as the best wine in the category of whites made with White Grenache, in ""La Guia de Vins de Catalunya 2024"" (one of the most important and prestigious wine guides in Catalonia). Our new state-of-the-art winery is part of the goal of becoming one of the top five wineries. / We are officially certified organic and vegan by the EU",https://bellcros.com,"Carretera de Bellmunt s/n Poligon, Sort dels Capellans, 43730, Falset",+46703987720,"Montjuïc, Pavilion 8, Level 0, Street C, Stand 456",,,,,,,,,,,,,,,,,,,,
